date,pm10_avg,pm25_avg
2018-12-21,538.0,295.42857142857144
2018-12-22,732.0,385.0
2018-12-23,679.0,340.85714285714283
2018-12-24,410.0,227.57142857142858
2018-12-25,378.0,207.14285714285714
2018-12-26,470.6666666666667,245.0
2018-12-27,396.3333333333333,219.14285714285714
2019-01-02,546.3333333333334,288.14285714285717
2019-02-12,298.6666666666667,179.71428571428572
2019-02-13,260.0,157.28571428571428
2019-04-20,,65.6
2019-04-23,,42.2
2019-04-24,,44.8
2019-04-25,217.0,120.225
2019-04-26,320.3333333333333,77.88333333333333
2019-04-27,290.6666666666667,91.74
2019-04-28,285.3333333333333,138.91666666666666
2019-04-29,288.0,107.60000000000001
2019-04-30,341.3333333333333,127.51428571428572
2019-05-01,268.0,87.41428571428571
2019-05-02,115.76666666666667,44.97714285714286
2019-07-10,325.6666666666667,83.41428571428571
2019-07-11,144.33333333333334,56.199999999999996
2019-07-12,291.6666666666667,72.04285714285714
2019-07-13,268.3333333333333,64.31428571428572
2019-07-14,128.0,41.228571428571435
2019-07-15,73.89999999999999,31.47142857142857
2019-07-16,57.166666666666664,32.3
2019-07-17,73.7,31.771428571428572
2019-07-18,129.33333333333334,104.07142857142857
2019-07-19,92.73333333333333,40.357142857142854
2019-07-20,91.3,45.07142857142857
2019-07-21,108.23333333333333,58.699999999999996
2019-07-22,123.66666666666667,58.74285714285714
2019-07-23,154.33333333333334,64.28571428571429
2019-07-24,64.26666666666667,24.5
2019-07-25,45.1,32.07142857142857
2019-07-26,37.46666666666667,79.04285714285713
2019-07-27,37.666666666666664,21.96666666666667
2019-07-28,49.86666666666667,29.199999999999996
2019-07-29,92.13333333333333,31.25714285714286
2019-07-30,62.166666666666664,32.128571428571426
2019-07-31,58.1,34.95714285714286
2019-08-01,64.73333333333333,33.92857142857143
2019-08-02,72.86666666666666,36.51428571428571
2019-08-03,79.3,41.357142857142854
2019-08-04,110.63333333333333,46.957142857142856
2019-08-05,49.03333333333333,21.30857142857143
2019-08-06,62.56666666666666,22.214285714285715
2019-08-07,55.86666666666667,26.366666666666664
2019-08-08,44.800000000000004,18.066666666666666
2019-08-09,31.566666666666666,16.916666666666668
2019-08-10,48.833333333333336,22.26
2019-08-11,51.73333333333333,36.166666666666664
2019-08-12,56.1,23.956666666666667
2019-08-13,64.16666666666667,28.6
2019-08-14,46.36666666666667,33.86
2019-08-15,31.099999999999998,15.746666666666664
2019-08-16,16.533333333333335,14.458333333333334
2019-08-17,34.666666666666664,18.106666666666666
2019-08-18,76.86666666666666,37.833333333333336
2019-08-19,88.86666666666667,43.78333333333333
2019-08-20,118.63333333333333,47.833333333333336
2019-08-21,123.33333333333333,37.483333333333334
2019-08-22,124.3,52.28333333333333
2019-08-23,412.0,56.949999999999996
2019-08-24,51.833333333333336,29.816666666666666
2019-08-25,55.53333333333334,27.766666666666666
2019-08-26,85.83333333333333,37.28333333333333
2019-08-27,80.76666666666667,39.733333333333334
2019-08-28,60.833333333333336,28.7
2019-08-29,77.13333333333333,38.61666666666667
2019-08-30,86.3,81.05
